20:37:53 | Trainer Initialized. Parallel Envs: 20
20:37:53 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
20:37:53 | Collecting 10000 steps of random data...
20:38:13 | Pre-training LSTM for 5000 steps...
20:38:13 | Pretrain Loss: 0.6681
20:39:20 | Pretrain Loss: 0.0032
20:40:28 | Pretrain Loss: 0.0028
20:41:35 | Pretrain Loss: 0.0029
20:42:43 | Pretrain Loss: 0.0030
20:43:50 | Re-freezing LSTM.
20:43:50 | 
=== PHASE 2 & 3: RL TRAINING ===
23:39:40 | Step 149000 | C: 0.01 | A: -2.01 | P: 0.000 | R_avg: 0.21
23:40:58 | Step 150000 | C: 0.01 | A: -1.96 | P: 0.000 | R_avg: 0.23
23:42:19 | Step 151000 | C: 0.03 | A: -1.93 | P: 0.000 | R_avg: 0.26
23:43:37 | Step 152000 | C: 0.01 | A: -1.90 | P: 0.000 | R_avg: 0.14
23:44:55 | Step 153000 | C: 0.01 | A: -1.86 | P: 0.000 | R_avg: 0.18
23:46:15 | Step 154000 | C: 0.01 | A: -1.86 | P: 0.000 | R_avg: 0.14
23:47:34 | Step 155000 | C: 0.01 | A: -1.80 | P: 0.000 | R_avg: 0.24
23:48:53 | Step 156000 | C: 0.01 | A: -1.79 | P: 0.000 | R_avg: 0.19
23:50:12 | Step 157000 | C: 0.03 | A: -1.76 | P: 0.000 | R_avg: 0.19
23:51:31 | Step 158000 | C: 0.01 | A: -1.74 | P: 0.000 | R_avg: 0.23
23:52:51 | Step 159000 | C: 0.00 | A: -1.71 | P: 0.000 | R_avg: 0.18
23:54:11 | Step 160000 | C: 0.01 | A: -1.68 | P: 0.000 | R_avg: 0.18
23:55:32 | Step 161000 | C: 0.03 | A: -1.67 | P: 0.000 | R_avg: 0.17
23:56:53 | Step 162000 | C: 0.03 | A: -1.64 | P: 0.000 | R_avg: 0.25
23:58:16 | Step 163000 | C: 0.03 | A: -1.65 | P: 0.000 | R_avg: 0.26
23:59:36 | Step 164000 | C: 0.01 | A: -1.62 | P: 0.000 | R_avg: 0.27
